codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
81274;592;76;22;162;110;104;65;54
81275;161;38;10;36;25;21;18;12
81276;914;277;58;204;133;96;84;64
81277;420;71;20;138;81;60;33;18
81278;135;37;4;56;25;8;4;2
81279;210;51;5;59;35;29;19;11
81280;221;63;10;55;37;25;20;10
81281;1549;326;79;448;316;206;106;67
81282;29;13;0;5;9;1;0;1
81283;815;159;53;212;140;102;87;62
81284;1380;239;76;386;248;184;141;107
81285;393;162;16;87;59;40;16;13
81286;484;143;29;117;88;41;39;26
81287;184;30;8;57;35;31;10;12
81288;2232;503;122;588;463;251;185;120
81289;1931;532;128;546;327;223;98;78
81290;124;24;9;42;20;12;10;7
81291;336;53;15;103;66;52;30;17
81292;419;77;27;117;90;50;40;16
81293;242;56;16;68;53;27;12;10
81294;703;135;26;196;132;91;68;53
81295;358;94;19;108;68;38;19;12
81297;911;118;56;230;194;137;110;66
81298;364;50;20;98;66;47;37;46
81299;283;44;14;80;57;30;29;29
81300;87;14;11;20;16;12;2;12
81302;36;8;2;10;7;4;5;1
81303;353;126;31;75;63;25;20;14
81304;145;43;5;29;17;22;18;12
81305;652;170;40;187;119;58;39;41
81306;675;162;37;192;153;72;48;11
81307;607;131;36;200;104;80;40;17
81308;1067;324;76;287;166;107;75;33
81309;238;46;9;49;42;31;41;20
81310;104;18;4;22;25;18;11;6
81311;598;147;26;144;131;74;40;36
81312;710;208;23;194;98;96;54;36
81313;168;29;11;41;35;16;14;22
81314;427;112;37;131;76;30;22;19
81315;1084;211;60;331;195;134;90;61
81316;172;41;6;51;24;21;13;15
81317;978;244;42;294;177;125;59;37
81318;117;26;8;32;14;16;13;7
81319;366;48;14;97;69;60;50;27
81320;125;31;2;31;27;16;13;5
81321;60;8;2;22;11;9;7;1
81322;192;44;15;57;33;21;17;5
81323;271;44;16;72;53;40;31;16
81324;152;24;7;40;24;27;11;18
81325;1442;260;71;439;290;166;136;81
81326;284;27;23;66;61;45;43;18
82001;493;130;38;128;75;62;42;19
82002;2385;578;143;711;427;290;155;81
82003;166;27;14;64;32;9;9;10
82004;107;28;7;28;28;7;4;5
82005;990;161;59;253;207;149;86;75
82006;60;16;1;11;7;14;5;4
82007;107;26;5;28;23;7;12;6
82008;724;188;50;196;118;76;47;49
82009;36;9;1;12;7;3;3;1
82010;215;49;8;69;45;24;14;6
82011;656;152;32;192;142;66;45;26
82012;391;101;19;119;72;47;17;16
82013;2914;847;235;797;469;285;164;118
82014;191;34;8;37;49;33;17;13
82015;101;14;8;40;12;13;10;5
82016;171;45;15;31;38;16;16;11
82017;976;177;48;289;188;150;69;55
82018;803;186;45;209;132;124;56;52
82019;553;131;35;156;92;65;49;25
82020;462;70;26;139;98;48;42;38
82021;163;37;8;41;38;13;13;13
82022;308;97;25;83;51;23;13;16
82023;652;145;27;230;108;74;33;35
82024;207;58;14;42;42;28;11;12
82025;2683;463;161;806;524;353;211;166
82026;519;120;41;116;91;67;48;36
82027;915;150;42;272;177;139;74;61
82028;536;87;27;173;97;86;38;30
82029;213;69;12;49;29;18;19;16
82030;345;90;33;107;49;32;20;13
82031;863;218;62;272;157;85;38;30
