CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
67462;14775;3548;492;3808;2338;1672;1462;1455
67463;2499;545;137;908;383;209;189;126
67464;695;114;14;258;141;101;36;30
67465;1739;286;50;569;342;230;143;118
67466;400;90;23;121;78;32;35;21
67467;279;95;12;84;42;28;9;10
67468;502;88;27;171;89;57;46;25
67470;91;11;6;24;16;17;10;7
67471;6091;680;217;1557;1076;903;743;915
67472;3738;981;146;1235;598;340;239;198
67473;746;107;28;242;137;108;67;56
67474;2414;459;90;793;456;307;184;126
67475;179;20;9;50;45;27;21;7
67476;558;105;20;206;110;58;37;23
67477;471;86;16;170;78;58;40;23
67478;1527;311;43;619;262;152;75;65
67479;473;83;15;145;99;63;42;26
67480;1381;279;36;448;257;164;111;86
67481;852;160;31;304;131;119;63;44
67482;187867;36862;6731;31397;28242;18604;24302;41730
67483;182;51;8;68;29;14;4;8
67484;384;63;14;151;70;37;24;25
67485;1268;119;32;294;221;228;166;209
67486;1315;226;41;484;230;181;100;53
67487;1307;230;35;443;220;159;127;93
67488;143;47;5;54;19;13;2;2
67489;670;127;25;237;100;82;50;49
67490;470;57;12;141;71;85;62;42
67491;215;62;8;73;40;12;9;11
67492;501;58;22;143;87;76;63;52
67493;333;55;19;109;59;38;22;32
67494;424;86;12;167;79;47;18;15
67495;3364;346;96;864;550;522;436;550
67497;538;127;18;186;82;79;24;22
67498;556;97;23;210;97;69;36;24
67499;247;27;14;80;47;33;27;18
67500;1112;213;35;377;186;128;90;83
67501;431;64;7;142;73;70;36;38
67502;163;29;5;66;21;25;10;6
67503;126;28;4;46;17;11;14;7
67504;1058;208;23;392;175;135;64;61
67505;328;31;14;72;63;63;36;49
67506;4670;662;192;1413;762;657;479;505
67507;1408;357;53;412;252;153;93;87
67508;324;73;9;117;70;35;14;7
67509;270;83;7;111;31;22;9;7
67510;434;51;16;122;76;79;41;48
67511;673;64;24;229;120;111;75;50
67513;107;23;4;36;18;10;7;8
67514;506;131;16;178;84;54;20;22
67515;432;74;14;154;71;69;34;17
67516;508;59;17;164;76;82;53;58
67517;478;81;12;157;81;60;43;44
67519;4542;404;131;1136;695;581;574;1022
67520;4441;880;181;1446;774;547;342;272
67521;362;70;8;138;51;46;26;22
67522;444;108;15;176;81;33;21;9
67523;2101;359;51;844;346;260;149;92
67524;412;69;13;163;68;44;23;33
67525;1300;205;40;475;234;175;95;76
67526;1210;195;21;389;231;192;96;85
67527;247;37;9;84;60;29;20;7
67528;414;86;13;148;86;48;26;7
