CodeCommune;NomCommune;Pop2017;Pop2022
38512;Tramolé;754;802
38513;Treffort;292;258
38514;Tréminis;178;201
38515;Trept;2170;2097
38516;La Tronche;6596;6447
38517;Tullins;7680;7657
38560;Val-de-Virieu;1539;1534
38518;Valbonnais;495;514
38519;Valencin;2799;2897
38520;Valencogne;689;681
38521;La Valette;71;64
38522;Valjouffrey;135;167
38523;Varacieux;854;864
38524;Varces-Allières-et-Risset;8250;8314
38525;Vasselin;474;462
38526;Vatilieu;365;367
38527;Vaujany;337;352
38528;Vaulnaveys-le-Bas;1282;1379
38529;Vaulnaveys-le-Haut;3867;4018
38530;Vaulx-Milieu;2553;2495
38531;Velanne;537;568
38532;Vénérieu;846;975
38533;Venon;729;836
38535;Vernas;266;266
38536;Vernioz;1294;1503
38537;La Verpillière;7226;7643
38538;Le Versoud;4818;4940
38539;Vertrieu;639;605
38540;Veurey-Voroize;1438;1392
38542;Veyssilieu;336;324
38543;Vézeronce-Curtin;2129;2217
38544;Vienne;29306;31555
38545;Vif;8532;8557
38546;Vignieu;1015;961
38292;Villages du Lac de Paladru;2485;2614
38547;Villard-Bonnot;7107;7445
38548;Villard-de-Lans;4210;4365
38549;Villard-Notre-Dame;27;26
38550;Villard-Reculas;56;70
38551;Villard-Reymond;43;43
38552;Villard-Saint-Christophe;406;398
38556;Ville-sous-Anjou;1173;1179
38553;Villefontaine;18763;19018
38554;Villemoirieu;1852;1890
38555;Villeneuve-de-Marc;1147;1162
38557;Villette-d'Anthon;4936;5240
38558;Villette-de-Vienne;1872;1979
38559;Vinay;4251;4449
38561;Viriville;1630;1704
38562;Vizille;7361;7316
38563;Voiron;20108;21604
38564;Voissant;226;236
38565;Voreppe;9293;9845
38566;Vourey;1705;1694
39001;Abergement-la-Ronce;849;832
39002;Abergement-le-Grand;58;61
39003;Abergement-le-Petit;42;48
39004;Abergement-lès-Thésy;60;50
39006;Aiglepierre;436;424
39007;Alièze;153;149
39008;Amange;433;432
39009;Andelot-en-Montagne;526;573
39010;Andelot-Morval;95;91
39011;Annoire;377;423
39013;Arbois;3336;3146
39014;Archelange;218;218
39015;Ardon;115;112
39586;Aresches;32;27
39016;Arinthod;1114;1149
39017;Arlay;1227;1184
39018;Aromas;652;584
39020;Arsure-Arsurette;101;100
39019;Les Arsures;230;219
39022;Asnans-Beauvoisin;731;724
39024;Audelange;270;258
39025;Augea;277;279
39026;Augerans;178;186
39027;Augisey;201;187
39028;Aumont;468;449
39029;Aumur;366;389
39030;Authume;821;874
39031;Auxange;201;200
39032;Avignon-lès-Saint-Claude;383;359
39034;Balaiseaux;309;300
39035;Balanod;349;333
39037;Bans;191;181
39038;Barésia-sur-l'Ain;150;154
39039;La Barre;232;247
39040;Barretaine;178;192
39041;Baume-les-Messieurs;162;159
39042;Baverans;500;498
39043;Beaufort-Orbagna;1351;1466
39045;Beffia;77;83
39046;Bellecombe;63;74
39047;Bellefontaine;537;494
39048;Belmont;262;255
39049;Bersaillin;405;401
39050;Besain;161;155
39051;Biarne;407;436
39052;Bief-des-Maisons;72;74
39053;Bief-du-Fourg;203;217
39054;Biefmorin;98;91
39055;Billecul;47;56
39056;Bletterans;1446;1530
39057;Blois-sur-Seille;105;101
39058;Blye;162;154
39059;Bois-d'Amont;1655;1695
39060;Bois-de-Gand;57;60
39061;Boissia;118;114
39062;La Boissière;68;64
39063;Bonlieu;261;218
39065;Bonnefontaine;104;110
39066;Bornay;176;182
39068;Les Bouchoux;317;313
39070;Bourg-de-Sirod;94;89
39072;Bracon;273;355
39073;Brainans;171;191
39074;Brans;216;199
39076;La Bretenière;220;215
39077;Bretenières;40;44
39078;Brevans;669;683
39079;Briod;204;211
39080;Broissia;65;57
39081;Buvilly;385;388
39083;Censeau;301;332
39084;Cernans;140;142
39085;Cerniébaud;88;90
39086;Cernon;251;234
39088;Cesancey;392;389
39021;La Chailleuse;602;590
39090;Chaînée-des-Coupis;181;185
39091;Les Chalesmes;96;83
39092;Chambéria;175;195
39093;Chamblay;424;423
39094;Chamole;166;160
39095;Champagne-sur-Loue;125;121
39096;Champagney;480;460
39097;Champagnole;7958;8035
39099;Champdivers;429;445
39100;Champrougier;101;98
39101;Champvans;1414;1460
39102;Chancia;226;217
39103;La Chapelle-sur-Furieuse;315;299
39104;Chapelle-Voland;602;626
39105;Chapois;224;216
39106;Charchilla;280;287
39107;Charcier;129;142
39108;Charency;55;56
39109;Charézier;175;169
39110;La Charme;68;65
39111;Charnod;40;37
39112;La Chassagne;119;103
39339;Chassal-Molinges;1131;1120
39114;Château-Chalon;146;146
39118;Châtel-de-Joux;51;49
39116;La Châtelaine;139;153
39117;Chatelay;106;100
39119;Le Chateley;87;85
39120;Châtelneuf;138;122
39121;Châtenois;389;412
39122;Châtillon;112;123
39124;Chaumergy;482;505
39126;La Chaumusse;402;391
39127;Chaussenans;100;107
39128;Chaussin;1630;1576
39133;Chaux-Champagny;71;73
39129;Chaux-des-Crotenay;404;401
39131;La Chaux-du-Dombief;544;568
39132;La Chaux-en-Bresse;39;32
39134;Chavéria;226;209
39136;Chemenot;37;33
39138;Chemin;343;317
39139;Chêne-Bernard;64;80
39140;Chêne-Sec;36;39
39141;Chevigny;280;268
39142;Chevreaux;122;126
39143;Chevrotaine;32;33
39145;Chille;293;295
39146;Chilly-le-Vignoble;667;598
39147;Chilly-sur-Salins;114;95
39149;Chissey-sur-Loue;320;322
39150;Choisey;1050;1002
39151;Choux;119;136
39153;Cize;788;801
39154;Clairvaux-les-Lacs;1451;1428
39155;Clucy;78;70
39156;Cogna;252;235
39157;Coiserette;52;46
39159;Colonne;264;258
39160;Commenailles;890;900
39162;Condamine;272;246
39163;Condes;109;117
39164;Conliège;668;662
39165;Conte;56;58
39166;Cornod;218;215
39167;Cosges;364;356
